Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-06-2021,23:56,METAR,Normal,160,14.0,,,9999.0,,22.7,12.6,29.98,1015.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,22:56,METAR,Normal,180,13.0,22.0,,9999.0,,25.1,11.5,29.99,1014.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,21:56,METAR,Normal,160,17.0,23.0,,9999.0,,26.1,11.4,29.98,1015.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,20:56,METAR,Normal,190,16.0,23.0,,9999.0,,26.8,11.3,30.00,1016.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,19:56,METAR,Normal,170,18.0,24.0,,9999.0,,26.9,11.4,30.01,1016.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,18:56,METAR,Normal,190,16.0,,,9999.0,,26.6,11.1,30.02,1016.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,17:56,METAR,Normal,170,15.0,,,9999.0,,25.3,12.2,30.03,1017.1,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,16:56,METAR,Normal,190,8.0,16.0,,9999.0,,21.3,12.3,30.07,1017.4,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,15:56,METAR,Normal,190,15.0,20.0,,9999.0,,20.0,13.0,30.06,1018.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-06-2021,14:56,METAR,Normal,190,17.0,21.0,,9999.0,,17.2,12.1,30.06,1018.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
