Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,04-08-2021,23:57,METAR,Normal,20,11.0,,,6400.0,Light Rain/Mist,5.4,5.4,29.59,1003.2,61,10,,,,,,,,,.01 IN,,.03 IN,,,300.0,300.0,OVC,300.0,,,,,,
KRDR,04-08-2021,23:31,SPECI,Normal,20,10.0,,,9999.0,Light Rain,5.0,5.0,29.59,1003.2,61,,,,,,,,,,,,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,22:57,METAR,Normal,20,12.0,,,9999.0,Light Drizzle,5.6,5.6,29.59,1003.1,51,,,,,,,,,,TRACE,,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,22:52,SPECI,Normal,20,11.0,,,9999.0,Light Drizzle,6.0,6.0,29.59,1003.1,51,,,,,,,,,,,,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,22:30,SPECI,Normal,20,11.0,,,9999.0,Light Drizzle,6.0,6.0,29.60,1003.5,51,,,,,,,,,,,,,,,600.0,600.0,OVC,600.0,,,,,,
KRDR,04-08-2021,21:57,METAR,Normal,30,13.0,,,9999.0,Light Drizzle,5.7,5.7,29.60,1003.5,51,,,,,,,,,,,,,,,700.0,700.0,OVC,700.0,,,,,,
KRDR,04-08-2021,21:29,SPECI,Normal,30,11.0,,,9999.0,Light Drizzle,6.0,6.0,29.60,1003.5,51,,,,,,,,,,,,,,,600.0,600.0,OVC,600.0,,,,,,
KRDR,04-08-2021,20:57,SPECI,Normal,30,9.0,,,9999.0,Mist,6.0,6.0,29.60,1003.4,10,,,,,,,,,,,,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,20:57,METAR,Normal,30,9.0,,,9999.0,,6.0,6.0,29.60,1003.4,,,,,,,,,,,,,,,,400.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,20:56,METAR,Normal,30,8.0,,,9999.0,Light Drizzle,5.8,5.8,29.60,1003.4,51,,,,,,,,,,TRACE,TRACE,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,20:05,SPECI,Normal,30,10.0,,,6400.0,Light Drizzle,6.0,6.0,29.62,1004.1,51,,,,,,,,,,,,,,,500.0,500.0,OVC,500.0,,,,,,
KRDR,04-08-2021,19:56,METAR,Normal,20,12.0,,,6400.0,Light Drizzle,5.8,5.8,29.62,1004.1,51,,,,,,,,,,TRACE,,,,,400.0,400.0,OVC,400.0,,,,,,
KRDR,04-08-2021,19:51,SPECI,Normal,20,10.0,,,6400.0,Light Drizzle,6.0,6.0,29.62,1004.1,51,,,,,,,,,,,,,,,400.0,400.0,OVC,400.0,,,,,,
KRDR,04-08-2021,19:45,SPECI,Normal,20,10.0,,,6400.0,Light Drizzle,6.0,6.0,29.62,1004.1,51,,,,,,,,,,,,,,,400.0,500.0,BKN,500.0,OVC,900.0,,,,
KRDR,04-08-2021,19:33,SPECI,Normal,20,11.0,,,6400.0,Light Drizzle,6.0,6.0,29.62,1004.1,51,,,,,,,,,,,,,,,700.0,700.0,OVC,700.0,,,,,,
KRDR,04-08-2021,19:07,SPECI,Normal,10,12.0,,,9999.0,Light Drizzle,6.0,6.0,29.62,1004.1,51,,,,,,,,,,,,,,,800.0,800.0,OVC,800.0,,,,,,
KRDR,04-08-2021,18:56,METAR,Normal,30,12.0,,,9999.0,,6.1,6.1,29.62,1004.1,,,,,,,,,,,,,,,,800.0,800.0,OVC,800.0,,,,,,
KRDR,04-08-2021,17:56,METAR,Normal,20,10.0,,,9999.0,,6.2,6.2,29.64,1004.7,,,,,,,,,,,,,.01 IN,,,900.0,900.0,OVC,900.0,,,,,,
KRDR,04-08-2021,17:36,SPECI,Normal,40,10.0,,,9999.0,,6.0,6.0,29.64,1004.7,,,,,,,,,,,,,,,,800.0,1000.0,OVC,1000.0,,,,,,
KRDR,04-08-2021,16:56,METAR,Normal,40,9.0,,,9999.0,,6.1,6.1,29.65,1005.1,,,,,,,,,,,,,,,,800.0,800.0,BKN,800.0,OVC,1400.0,,,,
KRDR,04-08-2021,15:56,METAR,Normal,10,10.0,,,9999.0,,5.5,5.5,29.66,1005.4,,,,,,,,,,,TRACE,,TRACE,,,700.0,800.0,OVC,800.0,,,,,,
KRDR,04-08-2021,14:56,METAR,Normal,10,10.0,,,9999.0,,5.2,5.2,29.67,1005.9,,,,,,,,,,,,.01 IN,,,,800.0,800.0,OVC,800.0,,,,,,
KRDR,04-08-2021,14:26,SPECI,Normal,30,9.0,,,9999.0,,5.0,5.0,29.69,1006.5,,,,,,,,,,,,,,,,800.0,800.0,OVC,800.0,,,,,,
KRDR,04-08-2021,14:06,SPECI,Normal,10,8.0,,,9999.0,,5.0,5.0,29.69,1006.4,,,,,,,,,,,,,,,,900.0,1000.0,OVC,1000.0,,,,,,
KRDR,04-08-2021,13:56,METAR,Normal,10,10.0,,,9999.0,,4.5,4.5,29.69,1006.4,,,,,,,,,,,.01 IN,,,,,900.0,900.0,OVC,900.0,,,,,,
KRDR,04-08-2021,13:48,SPECI,Normal,20,9.0,,,9999.0,,4.0,4.0,29.69,1006.4,,,,,,,,,,,,,,,,900.0,900.0,OVC,900.0,,,,,,
KRDR,04-08-2021,12:56,METAR,Normal,10,9.0,,,9999.0,Light Drizzle,4.1,4.1,29.71,1007.1,51,,,,,,,,,,TRACE,,,,,900.0,900.0,OVC,900.0,,,,,,
KRDR,04-08-2021,11:56,METAR,Normal,360,8.0,,,9999.0,Light Drizzle,4.8,4.8,29.72,1007.4,51,,,,,,,,,,.04 IN,,.04 IN,.03 IN,,900.0,1000.0,OVC,1000.0,,,,,,
KRDR,04-08-2021,11:46,SPECI,Normal,10,9.0,,,9999.0,Light Rain,5.0,5.0,29.72,1007.4,61,,,,,,,,,,,,,,,900.0,1000.0,OVC,1000.0,,,,,,
KRDR,04-08-2021,11:36,SPECI,Normal,20,9.0,,,9999.0,Light Rain,5.0,5.0,29.72,1007.4,61,,,,,,,,,,,,,,,900.0,900.0,OVC,900.0,,,,,,
KRDR,04-08-2021,10:56,METAR,Normal,20,8.0,,,9999.0,Light Rain,5.4,5.4,29.73,1007.6,61,,,,,,,,,,TRACE,,,,,1000.0,1100.0,OVC,1100.0,,,,,,
KRDR,04-08-2021,10:46,SPECI,Normal,30,8.0,,,9999.0,Light Drizzle,6.0,6.0,29.73,1007.6,51,,,,,,,,,,,,,,,1000.0,1100.0,OVC,1100.0,,,,,,
