Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-16-2018,23:56,METAR,Normal,320,13.0,18.0,,9999.0,,3.7,-3.1,30.15,1022.5,,,,,,,,,,,,,,,,3600.0,3600.0,OVC,3600.0,,,,,,
KRDR,10-16-2018,22:56,METAR,Normal,320,7.0,,,9999.0,,3.7,-1.5,30.14,1022.2,,,,,,,,,,,,,,,,,,,,,,,,,
KRDR,10-16-2018,21:56,METAR,Normal,320,9.0,,,9999.0,,4.2,-1.6,30.13,1021.8,,,,,,,,,,,,,,,,3600.0,3600.0,OVC,3600.0,,,,,,
KRDR,10-16-2018,21:41,SPECI,Normal,320,8.0,,,9999.0,,4.0,-2.0,30.13,1021.8,,,,,,,,,,,,,,,,3800.0,3800.0,OVC,3800.0,,,,,,
KRDR,10-16-2018,20:56,METAR,Normal,330,11.0,,,9999.0,,4.5,-1.5,30.13,1021.7,,,,,,,,,,,,,,,,2700.0,2700.0,BKN,2700.0,OVC,3600.0,,,,
KRDR,10-16-2018,20:51,SPECI,Normal,340,8.0,,,8000.0,,4.0,-2.0,30.12,1021.4,,,,,,,,,,,,,,,,,,,,,,,,,
KRDR,10-16-2018,20:36,SPECI,Normal,320,9.0,,,9999.0,,5.0,-1.0,30.12,1021.3,,,,,,,,,,,,,,,,2900.0,2900.0,BKN,2900.0,OVC,3800.0,,,,
KRDR,10-16-2018,19:56,METAR,Normal,340,10.0,,,9999.0,,4.7,-1.1,30.11,1020.9,,,,,,,,,,,,,,,,3900.0,3900.0,OVC,3900.0,,,,,,
KRDR,10-16-2018,19:51,SPECI,Normal,350,8.0,,,9999.0,,5.0,-1.0,30.11,1020.9,,,,,,,,,,,,,,,,3900.0,2400.0,FEW,2400.0,OVC,3900.0,,,,
KRDR,10-16-2018,19:21,SPECI,Normal,350,10.0,,,9999.0,,5.0,-1.0,30.11,1020.9,,,,,,,,,,,,,,,,2800.0,2800.0,BKN,2800.0,OVC,3700.0,,,,
KRDR,10-16-2018,19:06,SPECI,Normal,340,11.0,,,9999.0,,5.0,-1.0,30.11,1020.9,,,,,,,,,,,,,,,,2700.0,2700.0,BKN,2700.0,OVC,3800.0,,,,
KRDR,10-16-2018,18:56,METAR,Normal,330,10.0,,,9999.0,,4.6,-1.0,30.11,1020.9,,,,,,,,,,,,,,,,2500.0,2500.0,BKN,2500.0,OVC,4000.0,,,,
KRDR,10-16-2018,18:52,SPECI,Normal,340,9.0,,,9999.0,,5.0,-1.0,30.11,1020.9,,,,,,,,,,,,,,,,4000.0,2500.0,SCT,2500.0,SCT,3000.0,OVC,4000.0,,
KRDR,10-16-2018,17:56,METAR,Normal,320,10.0,,,9999.0,,4.9,-0.9,30.09,1020.2,,,,,,,,,,,,,,,,2600.0,2600.0,BKN,2600.0,OVC,3500.0,,,,
KRDR,10-16-2018,17:39,SPECI,Normal,350,9.0,,,9999.0,,5.0,-1.0,30.09,1020.2,,,,,,,,,,,,,,,,2600.0,2600.0,BKN,2600.0,BKN,3500.0,OVC,4300.0,,
KRDR,10-16-2018,16:56,METAR,Normal,330,8.0,,,9999.0,,4.6,-0.8,30.08,1019.8,,,,,,,,,,,,,,,,4400.0,2100.0,FEW,2100.0,OVC,4400.0,,,,
KRDR,10-16-2018,15:56,METAR,Normal,310,7.0,,,9999.0,,3.8,-0.8,30.07,1019.6,,,,,,,,,,,,,,,,4200.0,4200.0,OVC,4200.0,,,,,,
KRDR,10-16-2018,14:56,METAR,Normal,310,7.0,,,9999.0,,2.9,-0.9,30.04,1018.6,,,,,,,,,,,,,,,,4100.0,4100.0,OVC,4100.0,,,,,,
KRDR,10-16-2018,12:56,METAR,Normal,280,8.0,,,9999.0,,0.2,-1.4,29.99,1016.9,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,3500.0,SCT,3500.0,,,,,,
KRDR,10-16-2018,12:46,SPECI,Normal,280,8.0,,,9999.0,,0.0,-1.0,29.99,1017.0,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,3500.0,SCT,3500.0,,,,,,
KRDR,10-16-2018,11:56,METAR,Normal,290,7.0,,,9999.0,,-0.5,-2.1,29.97,1016.2,,,,,,,,,,,,,,,2/8 Mostly Clear,72000.0,3900.0,FEW,3900.0,,,,,,
KRDR,10-16-2018,10:56,METAR,Normal,290,6.0,,,9999.0,,-0.1,-1.5,29.95,1015.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,09:56,METAR,Normal,300,7.0,,,9999.0,,-0.5,-1.8,29.92,1014.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,08:56,METAR,Normal,310,6.0,,,9999.0,,2.0,0.0,29.90,1013.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,07:56,METAR,Normal,330,11.0,,,9999.0,,5.1,-0.1,29.87,1012.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,06:56,METAR,Normal,310,13.0,21.0,,9999.0,,6.7,0.4,29.82,1010.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,05:56,METAR,Normal,290,11.0,,,9999.0,,6.1,0.8,29.81,1010.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,04:56,METAR,Normal,290,7.0,,,9999.0,,6.1,0.8,29.80,1010.4,,,,,,,,,,,,,,,,6500.0,6500.0,BKN,6500.0,,,,,,
KRDR,10-16-2018,03:56,METAR,Normal,270,6.0,,,9999.0,,4.1,-0.3,29.80,1010.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-16-2018,02:56,METAR,Normal,300,6.0,,,9999.0,,7.7,0.4,29.80,1010.5,,,,,,,,,,,,,,,,6000.0,6000.0,OVC,6000.0,,,,,,
KRDR,10-16-2018,01:56,METAR,Normal,280,10.0,,,9999.0,,7.8,0.0,29.79,1010.2,,,,,,,,,,,,,,,,7000.0,7000.0,BKN,7000.0,,,,,,
KRDR,10-16-2018,00:56,METAR,Normal,260,8.0,,,9999.0,,7.1,-0.1,29.78,1010.0,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,7000.0,SCT,7000.0,SCT,8600.0,,,,
KRDR,10-15-2018,23:56,METAR,Normal,240,8.0,,,9999.0,,8.1,-0.7,29.78,1010.0,,,,,,,,,,,,,,,,7500.0,7500.0,BKN,7500.0,OVC,9100.0,,,,
KRDR,10-15-2018,22:56,METAR,Normal,250,12.0,21.0,,9999.0,,10.0,-0.8,29.80,1010.6,,,,,,,,,,,,,,,,8000.0,8000.0,OVC,8000.0,,,,,,
KRDR,10-15-2018,21:56,METAR,Normal,220,12.0,19.0,,9999.0,,8.4,-3.2,29.81,1011.0,,,,,,,,,,,,,,,,5500.0,5500.0,OVC,5500.0,,,,,,
KRDR,10-15-2018,20:56,METAR,Normal,210,17.0,,,9999.0,,8.3,-4.9,29.84,1011.9,,,,,,,,,,,,,,,,7500.0,6000.0,SCT,6000.0,BKN,7500.0,,,,
KRDR,10-15-2018,19:56,METAR,Normal,200,17.0,21.0,,9999.0,,7.8,-5.0,29.88,1013.3,,,,,,,,,,,,,,,,7500.0,5500.0,FEW,5500.0,BKN,7500.0,BKN,8600.0,,
KRDR,10-15-2018,18:56,METAR,Normal,210,17.0,,,9999.0,,7.1,-5.9,29.91,1014.3,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,9500.0,SCT,9600.0,,,,,,
KRDR,10-15-2018,17:56,METAR,Normal,210,16.0,22.0,,9999.0,,6.5,-4.9,29.96,1016.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,16:59,METAR,Normal,210,14.0,,,9999.0,,4.1,-4.9,30.01,1017.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,15:56,METAR,Normal,200,12.0,,,9999.0,,2.2,-5.4,30.04,1018.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,15:16,SPECI,Normal,220,8.0,,,9999.0,,-1.0,-6.0,30.07,1020.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,15:11,SPECI,Normal,210,10.0,,,,,-1.0,-6.0,30.08,1020.3,,,,,,,,,,,,,,,,,,,,,,,,,
KRDR,10-15-2018,14:56,METAR,Normal,210,8.0,,,9999.0,,-1.6,-6.2,30.09,1020.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,13:56,METAR,Normal,240,7.0,,,9999.0,,-4.5,-7.0,30.12,1021.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,12:56,METAR,Normal,230,6.0,,,9999.0,,-7.7,-8.9,30.12,1022.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,11:56,METAR,Normal,240,4.0,,,9999.0,,-7.4,-8.6,30.13,1022.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,10:56,METAR,Normal,280,4.0,,,9999.0,,-6.3,-7.8,30.15,1022.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,09:56,METAR,Normal,300,6.0,,,9999.0,,-5.2,-6.6,30.15,1022.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,08:56,METAR,Normal,290,6.0,,,9999.0,,-4.5,-5.9,30.16,1023.1,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-15-2018,07:56,METAR,Normal,300,7.0,,,9999.0,,-3.7,-5.6,30.16,1023.1,,,,,,,,,,,,,,,2/8 Mostly Clear,72000.0,12000.0,FEW,12000.0,,,,,,
KRDR,10-15-2018,07:06,SPECI,Normal,310,9.0,,,9999.0,,-2.0,-5.0,30.16,1023.0,,,,,,,,,,,,,,,,5000.0,2300.0,SCT,2300.0,SCT,4100.0,BKN,5000.0,BKN,9600.0
KRDR,10-15-2018,06:56,METAR,Normal,320,10.0,18.0,,9999.0,,-1.7,-4.4,30.16,1023.0,,,,,,,,,,,,,,,,2000.0,2100.0,BKN,2100.0,OVC,4000.0,,,,
KRDR,10-15-2018,05:56,METAR,Normal,330,11.0,,,9999.0,,-1.0,-4.0,30.16,1023.0,,,,,,,,,,,TRACE,,TRACE,,,1400.0,1500.0,OVC,1500.0,,,,,,
KRDR,10-15-2018,05:13,SPECI,Normal,320,10.0,,,9999.0,,-1.0,-4.0,30.15,1022.7,,,,,,,,,,,,,,,,1400.0,1500.0,OVC,1500.0,,,,,,
KRDR,10-15-2018,05:03,SPECI,Normal,330,9.0,,,9999.0,Light Snow,-1.0,-4.0,30.15,1022.7,71,,,,,,,,,,,,,,,1300.0,1500.0,OVC,1500.0,,,,,,
KRDR,10-15-2018,04:56,METAR,Normal,320,8.0,,,9999.0,,-0.8,-4.2,30.15,1022.7,,,,,,,,,,,,,,,,1300.0,1500.0,OVC,1500.0,,,,,,
KRDR,10-15-2018,03:56,METAR,Normal,330,12.0,,,9999.0,,-0.5,-3.9,30.15,1022.7,,,,,,,,,,,,,,,,1600.0,1600.0,OVC,1600.0,,,,,,
KRDR,10-15-2018,02:56,METAR,Normal,320,13.0,,,9999.0,,-0.4,-3.8,30.14,1022.3,,,,,,,,,,,TRACE,TRACE,,,,1700.0,1700.0,OVC,1700.0,,,,,,
KRDR,10-15-2018,02:37,SPECI,Normal,320,11.0,,,9999.0,,0.0,-3.0,30.14,1022.3,,,,,,,,,,,,,,,,1900.0,1900.0,OVC,1900.0,,,,,,
KRDR,10-15-2018,02:22,SPECI,Normal,310,13.0,,,9999.0,,-1.0,-3.0,30.14,1022.3,,,,,,,,,,,,,,,,1900.0,2100.0,OVC,2100.0,,,,,,
KRDR,10-15-2018,02:17,SPECI,Normal,310,13.0,,,9999.0,,-1.0,-3.0,30.14,1022.3,,,,,,,,,,,,,,,,1900.0,1900.0,BKN,1900.0,OVC,2500.0,,,,
KRDR,10-15-2018,02:16,SPECI,Normal,310,12.0,,,9999.0,Light Snow,-1.0,-3.0,30.14,1022.3,71,,,,,,,,,,,,,,,1900.0,1900.0,BKN,1900.0,OVC,2500.0,,,,
KRDR,10-15-2018,01:56,METAR,Normal,310,12.0,,,9999.0,Light Snow,-0.8,-3.2,30.14,1022.3,71,,,,,,,,,,TRACE,,,,,1800.0,1300.0,FEW,1300.0,FEW,1800.0,BKN,2500.0,BKN,3500.0
KRDR,10-15-2018,01:49,SPECI,Normal,310,14.0,,,8000.0,Light Snow,-1.0,-3.0,30.14,1022.3,71,,,,,,,,,,,,,,,3500.0,1300.0,FEW,1300.0,SCT,1900.0,BKN,3500.0,BKN,4400.0
KRDR,10-15-2018,01:34,SPECI,Normal,310,11.0,,,9999.0,Light Snow,0.0,-4.0,30.13,1022.0,71,,,,,,,,,,,,,,,1900.0,1900.0,BKN,1900.0,OVC,2400.0,,,,
KRDR,10-15-2018,01:27,SPECI,Normal,310,12.0,,,9999.0,,0.0,-4.0,30.13,1022.0,,,,,,,,,,,,,,,,1900.0,1900.0,BKN,1900.0,OVC,7000.0,,,,
KRDR,10-15-2018,00:57,METAR,Normal,310,10.0,,,9999.0,,-0.4,-4.3,30.13,1022.0,,,,,,,,,,,,,,,,2600.0,2600.0,OVC,2600.0,,,,,,
