Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-29-2014,23:58,METAR,Normal,160,6.0,,,9999.0,,4.1,-1.4,29.99,1017.0,,,,,,,,,,,,,,,,9500.0,9500.0,BKN,9600.0,,,,,,
KRDR,10-29-2014,22:58,METAR,Normal,130,5.0,,,9999.0,,4.6,-1.8,30.01,1017.6,,,,,,,,,,,,,,,,11000.0,11000.0,BKN,11000.0,,,,,,
KRDR,10-29-2014,21:58,METAR,Normal,180,8.0,,,9999.0,,4.9,-2.2,30.02,1017.9,,,,,,,,,,,,,,,,10000.0,10000.0,OVC,10000.0,,,,,,
KRDR,10-29-2014,20:58,METAR,Normal,160,5.0,,,9999.0,,4.9,-2.4,30.02,1017.9,,,,,,,,,,,,,,,,12000.0,12000.0,OVC,12000.0,,,,,,
KRDR,10-29-2014,19:58,METAR,Normal,160,6.0,,,9999.0,,4.8,-2.7,30.04,1018.6,,,,,,,,,,,,,,,,11000.0,2900.0,FEW,2900.0,OVC,11000.0,,,,
KRDR,10-29-2014,19:33,SPECI,Normal,200,7.0,,,9999.0,,5.0,-2.0,30.06,,,,,,,,,,,,,,,,,10000.0,2700.0,SCT,2700.0,OVC,10000.0,,,,
KRDR,10-29-2014,18:58,METAR,Normal,180,6.0,,,9999.0,,4.3,-2.4,30.07,1019.6,,,,,,,,,,,,,,,,2500.0,2500.0,OVC,2500.0,,,,,,
KRDR,10-29-2014,17:58,METAR,Variable,,5.0,,,9999.0,,3.6,-2.3,30.09,1020.4,,,,,,,,,,,,,,,,2400.0,2400.0,OVC,2400.0,,,,,,
KRDR,10-29-2014,16:58,METAR,Normal,230,8.0,,,9999.0,,3.1,-3.0,30.11,1021.1,,,,,,,,,,,,,,,,2400.0,2400.0,OVC,2400.0,,,,,,
KRDR,10-29-2014,15:58,METAR,Normal,250,5.0,,,9999.0,,2.6,-2.7,30.12,1021.4,,,,,,,,,,,,,,,,2300.0,2300.0,OVC,2300.0,,,,,,
KRDR,10-29-2014,14:58,METAR,Normal,280,6.0,,,9999.0,,2.3,-2.5,30.13,1021.8,,,,,,,,,,,,,,,,2300.0,2300.0,OVC,2300.0,,,,,,
KRDR,10-29-2014,13:58,METAR,Normal,280,3.0,,,9999.0,,1.7,-1.5,30.12,1021.4,,,,,,,,,,,,,,,,2200.0,2200.0,OVC,2200.0,,,,,,
KRDR,10-29-2014,12:58,METAR,Normal,300,4.0,,,9999.0,,1.5,-1.3,30.12,1021.4,,,,,,,,,,,,,,,,2400.0,2400.0,OVC,2400.0,,,,,,
KRDR,10-29-2014,11:58,METAR,Normal,320,1.0,,,9999.0,,1.4,-1.7,30.12,1021.5,,,,,,,,,,,,,,IN,,2600.0,2600.0,OVC,2600.0,,,,,,
