Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-22-2016,23:58,METAR,Normal,100,5.0,,,9999.0,,11.3,5.3,29.87,1012.7,,,,,,,,,,,,,,,,11000.0,11000.0,OVC,11000.0,,,,,,
KRDR,10-22-2016,22:58,METAR,Normal,110,6.0,,,9999.0,,13.9,5.7,29.88,1012.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,21:58,METAR,Normal,130,9.0,,,9999.0,,14.5,5.4,29.89,1013.2,,,,,,,,,,,,,,,2/8 Mostly Clear,72000.0,12000.0,FEW,12000.0,,,,,,
KRDR,10-22-2016,20:58,METAR,Normal,130,6.0,,,9999.0,,15.4,5.1,29.89,1013.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,19:58,METAR,Normal,150,6.0,,,9999.0,,14.3,4.9,29.91,1013.8,,,,,,,,,,,,,,,,12000.0,12000.0,BKN,12000.0,,,,,,
KRDR,10-22-2016,18:58,METAR,Normal,160,5.0,,,9999.0,,14.3,5.8,29.93,1014.4,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,17:58,METAR,Normal,120,4.0,,,9999.0,,13.1,5.7,29.95,1015.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,16:58,METAR,Normal,160,5.0,,,9999.0,,12.7,5.3,29.97,1015.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,15:58,METAR,Normal,160,3.0,,,9999.0,,10.4,4.6,29.98,1016.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,14:58,METAR,Calm,,0.0,,,9999.0,,,4.1,29.98,1016.4,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,13:58,METAR,Calm,,0.0,,,9999.0,,0.3,-1.1,29.97,1016.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,12:58,METAR,Normal,240,4.0,,,9999.0,,-1.4,-2.4,29.95,1015.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,11:58,METAR,Calm,,0.0,,,9999.0,,-0.9,-2.1,29.96,1015.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,10:58,METAR,Calm,,0.0,,,9999.0,,0.6,-0.6,29.95,1015.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-22-2016,09:58,METAR,Normal,300,4.0,,,9999.0,,2.2,0.5,29.95,1015.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
