Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-19-2017,23:56,METAR,Normal,180,11,,,9999.0,,16.7,4.1,29.71,1007.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,22:56,METAR,Normal,180,9,,,9999.0,,19.7,3.8,29.72,1007.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,21:56,METAR,Normal,190,12,,,9999.0,,21.7,3.4,29.72,1007.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,20:56,METAR,Normal,180,10,,,9999.0,,21.7,2.9,29.73,1007.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,19:56,METAR,Normal,180,11,,,9999.0,,20.6,2.4,29.74,1007.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,18:56,METAR,Normal,190,11,,,9999.0,,18.4,2.2,29.77,1008.9,,,,,,,,,,,,,,,,,24000.0,FEW,24000.0,,,,,,
KRDR,10-19-2017,17:56,METAR,Normal,190,12,,,9999.0,,16.3,1.2,29.78,1009.2,,,,,,,,,,,,,,,,,18000.0,FEW,18000.0,,,,,,
KRDR,10-19-2017,16:56,METAR,Normal,180,12,,,9999.0,,14.2,0.1,29.80,1010.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,15:56,METAR,Normal,180,13,,,9999.0,,11.9,-1.6,29.81,1010.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,14:56,METAR,Normal,170,9,,,9999.0,,7.8,-1.7,29.83,1011.1,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,13:56,METAR,Normal,170,7,,,9999.0,,4.1,-2.7,29.84,1011.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,12:56,METAR,Normal,190,8,,,9999.0,,1.7,-3.2,29.85,1011.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,11:56,METAR,Normal,190,6,,,9999.0,,0.3,-3.8,29.86,1012.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,10:56,METAR,Normal,190,5,,,9999.0,,1.1,-3.8,29.87,1012.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,09:56,METAR,Normal,210,4,,,9999.0,,2.8,-4.0,29.89,1013.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-19-2017,08:56,METAR,Normal,220,7,,,9999.0,,2.5,-4.0,29.90,1013.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
