Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,11-01-2013,23:58,METAR,Normal,310,7.0,,,9999.0,,3.9,-0.6,29.84,1011.9,,,,,,,,,,,,,,,,,4000.0,SCT,4000.0,,,,,,
KRDR,11-01-2013,22:58,METAR,Normal,350,11.0,,,9999.0,,7.0,0.1,29.82,1011.2,,,,,,,,,,,,,,,,7000.0,7000.0,OVC,7000.0,,,,,,
KRDR,11-01-2013,21:58,METAR,Normal,340,11.0,,,9999.0,,7.7,0.4,29.79,1010.2,,,,,,,,,,,,,,,,4000.0,4000.0,OVC,4000.0,,,,,,
KRDR,11-01-2013,20:58,METAR,Normal,360,13.0,,,9999.0,,8.6,-0.1,29.76,1009.0,,,,,,,,,,,,,,,,7500.0,4800.0,FEW,4800.0,OVC,7500.0,,,,
KRDR,11-01-2013,19:58,METAR,Normal,360,14.0,,,9999.0,,8.7,-0.1,29.73,1008.0,,,,,,,,,,,,,,,,8500.0,6500.0,FEW,6500.0,OVC,8600.0,,,,
KRDR,11-01-2013,18:58,METAR,Normal,360,10.0,,,9999.0,,9.5,0.1,29.70,1007.0,,,,,,,,,,,,,,,,9500.0,9500.0,BKN,9600.0,,,,,,
KRDR,11-01-2013,17:58,METAR,Normal,360,6.0,,,9999.0,,7.0,0.0,29.68,1006.3,,,,,,,,,,,,,,,,7000.0,7000.0,BKN,7000.0,OVC,9600.0,,,,
KRDR,11-01-2013,16:58,METAR,Normal,360,8.0,,,9999.0,,5.4,0.1,29.66,1005.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,15:58,METAR,Normal,360,8.0,,,9999.0,,3.7,0.4,29.63,1004.7,,,,,,,,,,,,,,,,8500.0,8500.0,BKN,8600.0,,,,,,
KRDR,11-01-2013,14:58,METAR,Normal,330,5.0,,,9999.0,,2.8,1.0,29.60,1003.7,,,,,,,,,,,,,,,,,9000.0,SCT,9100.0,,,,,,
KRDR,11-01-2013,13:58,METAR,Normal,320,4.0,,,9999.0,,1.2,-0.4,29.58,1003.1,,,,,,,,,,,,,,,,8500.0,5500.0,FEW,5500.0,SCT,7000.0,BKN,8600.0,,
KRDR,11-01-2013,12:58,METAR,Normal,300,3.0,,,9999.0,,0.3,-0.8,29.56,1002.3,,,,,,,,,,,,,,,,8500.0,8500.0,BKN,8600.0,,,,,,
KRDR,11-01-2013,11:58,METAR,Normal,290,5.0,,,9999.0,,-1.0,-2.0,29.54,1001.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,10:58,METAR,Normal,280,5.0,,,9999.0,,-1.4,-2.3,29.53,1001.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,09:58,METAR,Normal,280,4.0,,,9999.0,,-3.0,-3.4,29.51,1000.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,08:58,METAR,Normal,260,4.0,,,9999.0,,-1.1,-2.1,29.50,1000.1,,,,,,,,,,,,,,,,,12000.0,FEW,12000.0,,,,,,
KRDR,11-01-2013,07:58,METAR,Normal,270,5.0,,,9999.0,,-1.7,-2.7,29.50,1000.2,,,,,,,,,,,,,,,,10000.0,10000.0,BKN,10000.0,,,,,,
KRDR,11-01-2013,06:58,METAR,Normal,300,6.0,,,9999.0,,-0.4,-2.0,29.49,999.8,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,05:58,METAR,Normal,300,6.0,,,9999.0,,-0.2,-1.8,29.48,999.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,04:58,METAR,Normal,300,5.0,,,9999.0,,-0.5,-2.1,29.48,999.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,03:58,METAR,Normal,320,5.0,,,9999.0,,1.3,-1.3,29.48,999.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,02:58,METAR,Normal,330,6.0,,,9999.0,,2.5,-0.7,29.47,999.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,11-01-2013,01:58,METAR,Normal,310,6.0,,,9999.0,,2.6,-0.8,29.46,998.8,,,,,,,,,,,,,,,,,12000.0,FEW,12000.0,,,,,,
KRDR,11-01-2013,00:58,METAR,Normal,330,6.0,,,9999.0,,5.8,0.0,29.46,998.8,,,,,,,,,,,,,,,,,12000.0,SCT,12000.0,,,,,,
KRDR,10-31-2013,23:58,METAR,Normal,340,7.0,,,9999.0,,6.8,0.1,29.45,998.4,,,,,,,,,,,,,,,,9000.0,7000.0,FEW,7000.0,BKN,9100.0,BKN,11000.0,,
KRDR,10-31-2013,22:58,METAR,Normal,330,7.0,,,9999.0,,7.5,0.1,29.43,997.7,,,,,,,,,,,,,,,,,12000.0,FEW,12000.0,,,,,,
KRDR,10-31-2013,21:58,METAR,Normal,330,8.0,,,9999.0,,9.0,0.7,29.42,997.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-31-2013,20:58,METAR,Normal,340,8.0,,,9999.0,,10.7,1.1,29.42,997.3,,,,,,,,,,,,,,,,3800.0,3800.0,BKN,3800.0,,,,,,
KRDR,10-31-2013,19:58,METAR,Normal,310,8.0,,,9999.0,,9.9,1.9,29.42,997.3,,,,,,,,,,,,,,,,,3300.0,SCT,3300.0,,,,,,
KRDR,10-31-2013,18:58,METAR,Normal,290,7.0,,,9999.0,,9.6,2.1,29.45,998.3,,,,,,,,,,,,,,,,,3900.0,SCT,3900.0,,,,,,
KRDR,10-31-2013,17:58,METAR,Normal,270,6.0,,,9999.0,,7.4,2.1,29.48,999.4,,,,,,,,,,,,,,,,3300.0,3300.0,OVC,3300.0,,,,,,
