Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,10-09-2020,23:56,METAR,Normal,340,11.0,,,9999.0,,15.6,0.6,29.79,1009.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,22:56,METAR,Normal,330,12.0,21.0,,9999.0,,17.9,1.8,29.75,1008.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,21:56,METAR,Normal,340,17.0,24.0,,9999.0,,19.8,2.2,29.72,1007.0,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,20:56,METAR,Normal,320,18.0,23.0,,9999.0,,22.0,5.0,29.68,1005.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,19:56,METAR,Normal,350,15.0,22.0,,9999.0,,22.8,5.2,29.66,1004.9,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,18:56,METAR,Normal,360,13.0,,,9999.0,,21.6,4.2,29.65,1004.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,17:56,METAR,Normal,330,12.0,,,9999.0,,20.4,4.8,29.64,1004.2,,,,,,,,,,,,,,,2/8 Mostly Clear,72000.0,23000.0,FEW,23000.0,,,,,,
KRDR,10-09-2020,16:56,METAR,Normal,340,14.0,,,9999.0,,19.4,5.1,29.61,1003.2,,,,,,,,,,,,,,,,19000.0,16000.0,SCT,16000.0,BKN,19000.0,,,,
KRDR,10-09-2020,15:56,METAR,Normal,330,10.0,,,9999.0,,17.4,5.7,29.57,1001.9,,,,,,,,,,,,,,,,20000.0,15000.0,SCT,15000.0,BKN,20000.0,,,,
KRDR,10-09-2020,14:56,METAR,Normal,320,15.0,18.0,,9999.0,,17.1,6.3,29.55,1001.2,,,,,,,,,,,,,,,,20000.0,15000.0,SCT,15000.0,BKN,20000.0,,,,
KRDR,10-09-2020,13:57,METAR,Calm,,0.0,,,9999.0,,12.9,7.3,29.52,1000.2,,,,,,,,,,,,,,,4/8 Partly Cloudy,72000.0,15000.0,SCT,15000.0,SCT,20000.0,,,,
KRDR,10-09-2020,13:56,METAR,Calm,,0.0,,,9999.0,,12.8,7.3,29.52,1000.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,12:56,METAR,Normal,280,3.0,,,9999.0,,8.0,4.9,29.50,999.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,11:56,METAR,Normal,200,5.0,,,9999.0,,4.7,2.9,29.50,999.7,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,10:56,METAR,Normal,180,6.0,,,9999.0,,5.5,3.0,29.49,999.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,09:56,METAR,Normal,160,4.0,,,9999.0,,8.1,3.4,29.49,999.3,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,08:56,METAR,Normal,210,7.0,,,9999.0,,9.6,3.1,29.50,999.5,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,07:56,METAR,Normal,190,7.0,,,9999.0,,9.5,3.0,29.53,,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,06:56,METAR,Normal,190,10.0,,,9999.0,,11.4,2.9,29.55,1001.2,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,05:56,METAR,Normal,190,7.0,,,9999.0,,11.2,3.0,29.59,1002.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,04:56,METAR,Normal,180,10.0,,,9999.0,,12.9,2.7,29.62,1003.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,03:56,METAR,Normal,170,12.0,,,9999.0,,13.2,2.7,29.66,1005.1,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,02:56,METAR,Normal,180,11.0,,,9999.0,,13.4,2.9,29.69,1006.1,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,01:56,METAR,Normal,170,10.0,,,9999.0,,14.1,2.3,29.73,1007.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-09-2020,00:56,METAR,Normal,170,12.0,,,9999.0,,15.2,2.0,29.76,1008.6,,,,,,,,,,,,,,,Clear,72000.0,,,,,,,,,
KRDR,10-08-2020,23:56,METAR,Normal,160,12.0,18.0,,9999.0,,16.3,2.3,29.76,1008.6,,,,,,,,,,,,,,,,23000.0,6000.0,FEW,6000.0,BKN,23000.0,,,,
