Platform Id,Date,Time (UTC),Report Type,Wind Condition,Wind Direction,Wind Speed (Knots),Wind Gust Speed,Peak Wind (Knots),Visibility (M),Weather,Air Temp (C),Dew Point (C),Altimeter (inHg),SLP (Millibars),Present Automated 1,Present Automated 2,Present Automated 3,Present Manual 1,Present Manual 2,Present Manual 3,Present Manual 4,Present Manual 5,Present Manual 6,Present Manual 7,Precip Hr1,Precip Hr3,Precip Hr6,Precip Hr24,Cloud Cover,Cloud Ceiling (Feet),Lowest Cloud Base Height (Feet),Cloud Cover1,Cloudbase 1,Cloud Cover2,Cloudbase 2,Cloud Cover3,Cloudbase 3,Cloud Cover4,Cloudbase 4
KRDR,06-28-2000,23:00,METAR,,330,15.0,,,9999,Cloud Development Not Observable,22.0,10.0,29.97,1015.0,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,5400.0,SCT,8900.0,SCT,20000.0,,
KRDR,06-28-2000,22:00,METAR,,310,17.0,23.0,,9999,Cloud Development Not Observable,21.0,14.0,29.98,1015.4,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,7900.0,BKN,20000.0,,
KRDR,06-28-2000,21:38,SPECI,,310,16.0,,,9999,Cloud Development Not Observable,21.0,13.0,29.98,,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,7900.0,BKN,20000.0,,
KRDR,06-28-2000,21:03,SPECI,,300,12.0,,,9999,Thunderstorm/Cloud Development Not Observable,21.0,9.0,29.98,,,,,17,0,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,7900.0,BKN,20000.0,,
KRDR,06-28-2000,21:00,METAR,,290,26.0,33.0,290/34KTS,8000,Thunderstorm with Rain or Snow/Light Rain Showers/Cloud Development Not Observable,17.0,12.0,29.98,1015.6,,,,95,80,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,7900.0,BKN,20000.0,,
KRDR,06-28-2000,20:00,METAR,,300,19.0,25.0,300/26KTS,9999,Precipitation in the Vicinity/Cloud Development Not Observable,24.0,11.0,29.97,1015.1,,,,16,0,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,6900.0,BKN,20000.0,,
KRDR,06-28-2000,19:00,METAR,,310,12.0,,,9999,Cloud Development Not Observable,22.0,12.0,30.00,1016.2,,,,0,0,0,,,,,,,,,7/8 Mostly Cloudy,4900.0,,BKN,5000.0,BKN,6900.0,,,,
KRDR,06-28-2000,18:00,METAR,,300,12.0,16.0,,9999,Cloud Development Not Observable,22.0,11.0,30.01,1016.4,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,5000.0,,,,,,
KRDR,06-28-2000,17:00,METAR,,320,12.0,,,9999,Cloud Development Not Observable,21.0,12.0,30.02,1016.9,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,FEW,5000.0,SCT,6900.0,,,,
KRDR,06-28-2000,16:00,METAR,,310,9.0,,,9999,Cloud Development Not Observable,20.0,14.0,30.02,1017.0,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6900.0,,,,,,
KRDR,06-28-2000,15:00,METAR,,310,11.0,,,9999,Cloud Development Not Observable,18.0,15.0,30.02,1017.1,,,,0,0,0,,,,,,,,,4/8 Partly Cloudy,72000.0,,SCT,6900.0,,,,,,
